ID_Estudiante,Facultad,Programa,Año_Ingreso,Estado,Promedio,Asistencia,Indicadores_Adicionales
1861,Economía,Economía,2015,Egresado,N/A,71.92,Beca: Sí; Participa en actividades extracurriculares
354,Artes,Artes Plásticas,2011,Egresado,2.51,63.64,Beca: No; Sin participación registrada
1334,Salud,Nutrición,2010,Activo,3.5,-6.318629344154851,Beca: Sí; Participa en actividades extracurriculares
906,Ciencias Sociales,Sociología,2011,Retirado,1.85,,Beca: No; Participa en actividades extracurriculares
1290,Humanidades,Historia,2013,Retirado,4.85,54.17,Beca: Sí; Sin participación registrada
1274,Ingeniería,Ingeniería Ambiental,2010,Egresado,9.14,,Beca: Sí; Sin participación registrada
939,Artes,Artes Plásticas,2012,Retirado,8.06,85.96,Beca: No; Participa en actividades extracurriculares
1732,Ciencias Sociales,Trabajo Social,2013,Retirado,7.97,91.63,Beca: Sí; Sin participación registrada
66,Artes,Artes Plásticas,2012,Activo,7.84,58.86,Beca: No; Sin participación registrada
1324,Economía,Contaduría,2014,Activo,9.67,76.18,Beca: No; Sin participación registrada
57,Economía,Contaduría,2019,Retirdo,5.12,53.04,Beca: No; Sin participación registrada
1293,Humanidades,Historia,2021,Egresado,7.21,64.88,Beca: Sí; Sin participación registrada
1119,Artes,Artes Plásticas,2014,Retirado,3.7,106.17420605913814,Beca: Sí; Sin participación registrada
585,Artes,Música,2017,Egresado,6.41,70.06,Beca: Sí; Sin participación registrada
375,Humanidades,Filosofía,2021,Activo,5.68,66.39,Beca: No; Sin participación registrada
276,Economía,Economía,2019,Retirado,6.55,90.87,Beca: No; Sin participación registrada
747,Ingeniería,Ingeniería Civil,2017,Retirado,7.93,78.96,Beca: No; Sin participación registrada
129,Ciencias Sociales,Psicología,2020,Retirado,3.82,69.63,Beca: Sí; Participa en actividades extracurriculares
1647,Ingeniería,Ingeniería de Software,2020,Egresado,1.37,51.34,Beca: No; Sin participación registrada
1853,Economía,Economía,2018,Retirado,8.87,54.69,Beca: No; Sin participación registrada
675,Artes,Diseño,2015,Egresado,2.21,69.68,Beca: Sí; Sin participación registrada
1665,Humanidades,Filosofía,2011,Egresado,5.93,-9.211683909347865,Beca: No; Sin participación registrada
1982,Ingeniería,Ingeniería de Software,2019,Egresado,5.48,109.71744960577306,Beca: No; Sin participación registrada
1084,Economía,Contaduría,2019,Activo,7.82,99.31,Beca: No; Participa en actividades extracurriculares
1923,,Diseño,2011,Egresado,,62.49,Beca: No; Sin participación registrada
100,Artes,Música,2010,Egresado,7.82,92.81,Beca: No; Sin participación registrada
1180,Artes,Artes Plásticas,,,1.74,63.39,Beca: No; Sin participación registrada
965,Humanidades,Historia,2010,,1.5,58.65,Beca: Sí; Sin participación registrada
793,Economía,Contaduría,2014,Retirado,7.52,50.15,Beca: No; Participa en actividades extracurriculares
30,Salud,Medicina,2019,Egresado,7.44,84.53,Beca: No; Participa en actividades extracurriculares
629,Humanidades,Historia,2015,Egresado ,11.808042293164963,-6.606669061910208,Beca: Sí; Participa en actividades extracurriculares
945,Ingeniería,Ingeniería Civil,2020-2020,Retirado,7.95,66.2,Beca: Sí; Sin participación registrada
573,Humanidades,Historia,2011,Retirado,7.89,88.6,Beca: No; Participa en actividades extracurriculares
908,Ingeniería,Ingeniería Civil,2015,Retirado,,89.9,Beca: No; Sin participación registrada
1081,Economía,Administración de Empresas,2012,Retirado,5.04,51.32,Beca: No; Participa en actividades extracurriculares
451,Economía,Contaduría,2013,Activo,4.66,54.51,Beca: Sí; Sin participación registrada
1610,,Artes Plásticas,,Activo,3.66,54.11,Beca: No; Participa en actividades extracurriculares
1291,Ciencias Sociales,Trabajo Social,2022,Activo,6.08,74.37,Beca: No; Participa en actividades extracurriculares
1079,Salud,Enfermería,2019,Activo,2.06,74.82,Beca: Sí; Sin participación registrada
255,Ciencias Sociales,Sociología,2017,Retirado,10.871088209624627,69.67,Beca: Sí; Participa en actividades extracurriculares
125,Salud,Nutrición,2011,Activo,,52.21,Beca: No; Sin participación registrada
1928,Humanidades,Historia,2019,Egresado,1.9,51.97,Beca: No; Sin participación registrada
252,Economía,Contaduría,2010,Activo,,92.64,Beca: Sí; Participa en actividades extracurriculares
586,Ciencias Sociales,Trabajo Social,2014,Retirado,2.79,87.59,Beca: Sí; Participa en actividades extracurriculares
1569,Ciencias Sociales,Psicología,2022,Activo,5.43,99.65,Beca: Sí; Sin participación registrada
825,Ciencias Sociales,Trabajo Social,2015,Egresado,1.77,69.73,Beca: Sí; Participa en actividades extracurriculares
508,Ingeniería,Ingeniería Civil,2014-2020,Egresado,8.12,84.93,Beca: No; Sin participación registrada
890,Ingeniería,,2016,Activo,8.34,97.62,Beca: No; Sin participación registrada
71,Economía,Contaduría,2015,Activo,7.9,100.0,Beca: Sí; Participa en actividades extracurriculares
1609,Salud,Nutrición,2014,Retirado,5.02,56.47,Beca: No; Participa en actividades extracurriculares
1533,Economía,Administración de Empresas,2015,Activo,N/A,69.29,Beca: No; Participa en actividades extracurriculares
248,Salud,Enfermería,,Retirado,5.34,94.95,Beca: No; Sin participación registrada
1451,Ingeniería,Ingeniería Ambiental,2022,Activo,4.64,85.97,Beca: No; Sin participación registrada
213,Salud,Nutrición,2021-2020,Egresado,2.95,73.57,Beca: No; Participa en actividades extracurriculares
1414,Salud,Medicina,2015-2020,Activo,4.86,84.94,Beca: No; Participa en actividades extracurriculares
1742,Artes,Música,2015,Activo,3.08,56.14,Beca: Sí; Participa en actividades extracurriculares
1245,,Administración de Empresas,2010,,6.59,54.68,Beca: No; Participa en actividades extracurriculares
1697,Ingeniería,Ingeniería de Software,2015,Activo,2.77,86.54,Beca: Sí; Sin participación registrada
1183,Ingeniería,Ingeniería de Software,2016,Activo,11.996072835998024,63.89,Beca: No; Sin participación registrada
362,Ciencias Sociales,Sociología,2011-2020,Retirado,8.73,82.43,
1474,Artes,Diseño,2015,Retirado,5.1,65.21,Beca: No; Participa en actividades extracurriculares
679,Ciencias Sociales,Trabajo Social,2022,Activo,10.520170834695959,80.87,Beca: Sí; Sin participación registrada
1622,Ingeniería,Ingeniería Ambiental,2010,Activo,1.96,98.35,Beca: No; Participa en actividades extracurriculares
1090,Humanidades,,2020,Activo,4.92,64.07,Beca: No; Sin participación registrada
1988,Ingeniería,Ingeniería Civil,2011,Activo,3.93,54.32,Beca: Sí; Sin participación registrada
1848,Economía,Contaduría,2017,Retirado,9.91,54.26,Beca: No; Participa en actividades extracurriculares
988,Humanidades,Historia,2020,Retirado,11.166506473774174,78.97,Beca: No; Sin participación registrada
1513,Ingeniería,Ingeniería Ambiental,2012,Activo,8.78,80.98,Beca: No; Sin participación registrada
112,Humanidades,Historia,2016,actvo,1.15,79.2,Beca: No; Participa en actividades extracurriculares
1488,Ciencias Sociales,Psicología,2010,Activo,5.34,71.19,Beca: No; Sin participación registrada
1454,Artes,Artes Plásticas,2015,Retirdo,,93.85,Beca: No; Participa en actividades extracurriculares
384,Salud,Nutrición,2014,Egresado,6.72,,Beca: No; Sin participación registrada
1396,Ingeniería,Ingeniería Civil,2019,Egresado,4.26,67.55,Beca: No; Participa en actividades extracurriculares
1055,Economía,Administración de Empresas,2010,Egresado,1.95,,Beca: Sí; Participa en actividades extracurriculares
756,Ciencias Sociales,Trabajo Social,2021,Retirdo,8.14,,Beca: Sí; Participa en actividades extracurriculares
325,Ciencias Sociales,,2012,Activo,7.87,50.94,
1624,Ingeniería,Ingeniería Ambiental,2019,Retirado,5.07,79.2,Beca: No; Participa en actividades extracurriculares
788,Economía,Economía,2015,Retirado,2.73,86.46,Beca: No; Sin participación registrada
369,Economía,Contaduría,2012,Egresado,2.11,98.48,Beca: No; Participa en actividades extracurriculares
1820,Ingeniería,Ingeniería Ambiental,2021,Activo,4.4,81.33,Beca: Sí; Sin participación registrada
70,Salud,Nutrición,2015,Retirado,4.53,96.9,Beca: No; Participa en actividades extracurriculares
858,Economía,Economía,2018,Activo,1.49,83.27,Beca: Sí; Sin participación registrada
1484,Humanidades,Historia,2020,Activo,5.64,81.84,Beca: No; Sin participación registrada
1556,Salud,Medicina,2020,Egresado,5.96,71.13,Beca: No; Sin participación registrada
1692,Humanidades,Filosofía,2012,Activo,5.72,77.28,Beca: No; Sin participación registrada
1475,Salud,Enfermería,2011-2020,,8.35,84.29,Beca: No; Sin participación registrada
1799,Ciencias Sociales,Psicología,2022,Egresado,9.22,,Beca: No; Sin participación registrada
479,Ciencias Sociales,Trabajo Social,2019,Retirado,3.82,91.36,
282,Artes,Diseño,2015,Egresado,3.12,69.71,Beca: No; Participa en actividades extracurriculares
1648,Ingeniería,Ingeniería Civil,2021,Activo,7.98,88.38,Beca: No; Sin participación registrada
1557,Ingeniería,Ingeniería Civil,2019,Retirado,4.65,86.92,Beca: Sí; Participa en actividades extracurriculares
1730,Artes,Artes Plásticas,2016,Egresado,9.75,89.1,Beca: No; Participa en actividades extracurriculares
211,Economía,Economía,2015,Egresado,5.34,75.09,Beca: Sí; Participa en actividades extracurriculares
298,Ingeniería,Ingeniería Civil,2017,Egresado,6.57,82.44,Beca: Sí; Sin participación registrada
1885,Ingeniería,Ingeniería Civil,2021,Egresado,5.64,89.14,Beca: No; Participa en actividades extracurriculares
1834,Ingeniería,Ingeniería Civil,2021,Activo,,54.34,Beca: No; Participa en actividades extracurriculares
652,Salud,Enfermería,2018,Retirado,1.06,85.61,Beca: No; Participa en actividades extracurriculares
1234,Ciencias Sociales,Sociología,2011,Retirado,8.82,81.79,Beca: No; Sin participación registrada
1503,Humanidades,Filosofía,2010,Activo,,,Beca: No; Participa en actividades extracurriculares
1932,Humanidades,,2017,Retirado,1.29,,Beca: No; Sin participación registrada
917,Artes,Diseño,2017,Egresado,3.03,50.31,Beca: Sí; Sin participación registrada
994,Economía,Contaduría,2014,,7.85,95.61,Beca: No; Sin participación registrada
430,Ingeniería,Ingeniería Civil,2022,Retirdo,9.66,74.3,Beca: No; Sin participación registrada
1371,Humanidades,Literatura,2012,Egresado,5.5,55.19,Beca: No; Sin participación registrada
240,Ciencias Sociales,Psicología,2018,Egresado,4.95,84.46,Beca: No; Participa en actividades extracurriculares
880,Artes,Música,2012,Activo,9.5,85.65,Beca: No; Sin participación registrada
621,Economía,Administración de Empresas,2020,Activo,9.77,76.59,Beca: No; Sin participación registrada
257,Ciencias Sociales,Trabajo Social,2022,Activo,7.35,56.76,Beca: No; Sin participación registrada
612,Salud,Enfermería,2010,Activo,4.98,79.45,Beca: No; Sin participación registrada
545,Humanidades,Filosofía,2012,Activo,6.56,101.34651600314899,Beca: No; Participa en actividades extracurriculares
772,Ciencias Sociales,Sociología,2010,,,99.49,Beca: No; Sin participación registrada
1420,,Ingeniería de Software,2015,Egresado,3.02,97.8,Beca: No; Sin participación registrada
1042,Ingeniería,Ingeniería Civil,2021,Activo,2.14,96.26,Beca: No; Participa en actividades extracurriculares
1790,Economía,Contaduría,2014,Egresado,3.78,71.57,Beca: No; Participa en actividades extracurriculares
760,Economía,Economía,2015,Egresado,4.66,-7.4336030486987195,Beca: No; Sin participación registrada
383,Ciencias Sociales,Sociología,2019,Retirado,4.47,53.03,Beca: No; Sin participación registrada
1104,Ciencias Sociales,Psicología,2012,Retirdo,5.82,61.72,Beca: No; Sin participación registrada
974,Salud,Medicina,2011-2020,Egresado,2.28,51.39,Beca: No; Sin participación registrada
353,Economía,Economía,2020,,2.34,51.79,Beca: Sí; Sin participación registrada
1606,Salud,Nutrición,2021,Retirado,1.14,104.44579705115731,Beca: Sí; Sin participación registrada
1826,,Psicología,2016,Activo,7.91,80.95,
1037,Economía,Economía,2018,,6.44,84.72,Beca: No; Participa en actividades extracurriculares
1108,Ingeniería,Ingeniería Civil,2020-2020,Retirado,8.8,72.71,Beca: No; Sin participación registrada
495,Economía,Contaduría,2016,actvo,4.37,91.0,Beca: No; Participa en actividades extracurriculares
394,Economía,Economía,2010,Egresado,4.62,70.56,Beca: No; Sin participación registrada
1547,Artes,Artes Plásticas,2017,Egresado,9.09,71.54,Beca: No; Sin participación registrada
1902,Salud,Enfermería,2021,Egresado,3.67,55.96,Beca: Sí; Sin participación registrada
887,Ciencias Sociales,Trabajo Social,2012,,7.41,60.6,Beca: Sí; Participa en actividades extracurriculares
1194,Ciencias Sociales,Psicología,2013,Activo,6.78,75.85,Beca: No; Participa en actividades extracurriculares
367,Artes,Artes Plásticas,2018,actvo,2.03,78.1,Beca: No; Sin participación registrada
1894,,Artes Plásticas,,Activo,6.33,86.57,Beca: No; Sin participación registrada
1874,Artes,Música,2017,Activo,7.47,64.86,Beca: No; Sin participación registrada
1890,Ciencias Sociales,Sociología,2017,Retirado,8.53,80.64,Beca: Sí; Sin participación registrada
530,Economía,Contaduría,2022,,1.95,86.41,Beca: No; Sin participación registrada
803,Salud,Medicina,2014,Egresado,8.99,57.12,Beca: No; Sin participación registrada
1224,Salud,Medicina,2013,Retirado,5.31,80.69,Beca: No; Sin participación registrada
